,add_title,add_price,add_area_val,add_bed_val,add_bath_val,add_park_val
83,Apartments in Costa del Este | Vendo Apartamento en Coste del Este en Ph Green Bay,"B/.190,000.00",125,3,3,1
84,"Apartments in Costa del Este | ID 3180 TITANIUM, AMOBLADO, PISO ALTO, VISTA AL MAR","B/.510,000.00",237,3,3.5,2
85,"Apartments in Santa María | ID 2611 ESTRENE, 2 POR PISO, DEN Y ESTUDIO","B/.787,000.00",306,3,3.5,2
86,Apartments in Costa del Este | FOR SALE APARTMENT IN COSTA DEL ESTE,"B/.385,000.00",189,3,3,2
87,Apartments in Avenida Balboa | Vendo apartamento en la Avenida Balboa en el Ph Yacht Club,"B/.300,000.00",147,2,3,1
88,Apartments in Avenida Balboa | YACHT CLUB 2 ESTACIONAMIENTOS GANGA,"B/.290,000.00",147,2,2,2
89,"Apartments in Coco del Mar | ID 3071 ALTO, FRENTE AL MAR, 3.5 BAÑOS + ESTUDIO","B/.270,000.00",176,3,3.5,2
90,Apartments in Costa del Este | Hermoso Apartamento en Venta en Costa del Este,"B/.235,000.00",110,2,2,1
91,Apartments in San Francisco | Hermoso Apartamento en Venta en San Francisco,"B/.217,065.00",87,1,2,1
92,Apartments in Punta Pacífica | GRAND TOWER - PUNTA PACIFICA,"B/.800,000.00
 (Reduced 6%)",313,3,3.5,2
93,Apartments in Costa del Este | Hermoso Apartamento en Venta en Costa del Este,"B/.450,000.00",216,3,3,1
94,Apartments in El Cangrejo | Royal Plaza located in El Cangrejo For Sale / Totally Renovated,"B/.229,000.00",225,2,2.5,1
95,Apartments in San Francisco | Se vende apartamento en Terrasol San Francisco,"B/.250,000.00",152,3,3,2
96,"Apartments in El Bosque | APT- 061 Alsacia Towers – El Bosque T. Muerto, Apartment for sale!!!","B/.109,000.00",55.1,2,2,1
97,Apartments in Miraflores | Skypoint - 2 rec,"B/.775.00
 (Reduced 3%)",75,2,2,1
98,Apartments in Vía Transístmica | VIA TRANSISMICA / PH COSMOPOLITAN TOWERS / 75m2 / LINEA BLANCA,"B/.128,000.00",75,2,2,2
99,Apartments in Coco del Mar | COCO DEL MAR / PH MOON TOWER / 82m2 / 2 HABITACIONES,"B/.170,000.00",82,2,2,1
100,Apartments in Parque Lefevre | Hermoso Apartamento en Venta en Parque Lefevre,"B/.127,700.00",55,2,1,1
101,Apartments in Punta Pacífica | SEA CONFIABLE VENDE O ALQUILA APARTAMENTO EN PH THE POINT,"B/.1,250,000.00",500,4,4,3
102,Apartments in Costa del Este | ph elevation-venta apartamento-costa del este,"B/.280,000.00",150,2,2,1
103,Apartments in Santa María | Hermoso Apartamento en Venta en Santa Maria,"B/.417,234.00",160,3,3,1
104,Apartments in Santa María | Apartamento en Venta en PH Albatross Santa Maria,"B/.881,000.00",339,3,4.5,2
105,Apartments in Parque Lefevre | Parque Lindo Parque Lefevre. Apartamento en Ave. Ernesto T. Lefevre,"B/.84,900.00",58,2,1,1
106,Apartments in Costa del Este | FOR SALE OR RENT APARTMENT IN COSTA DEL ESTE,"B/.425,000.00",205,3,3.5,2
107,Apartments in Hato Pintado | VENTA GANGA DE APARTAMENTO UBICADO EN HATO PINTADO,"B/.185,000.00",116,3,2.5,1
108,Apartments in Marbella | APARTMENT FOR SALE IN MARBELLA,"B/.320,000.00",247,2,3,2
109,Apartments in San Antonio | VENTA APARTAMENTO,"B/.170,000.00",84,2,2,1
110,Apartments in Punta Paitilla | VENTA DE APARTAMENTO EN PUNTA PAITILLA,"B/.665,000.00",290,2,3.5,2
111,"Apartments in Costa del Este | Se vende apartamento en Costa del Este, Ph Breeze","B/.420,000.00",216.67,3,3,2
112,Apartments in Punta Pacífica | Espectacular apartamento en venta en Punta Pacifica,"B/.700,000.00",363,4,5,3
113,"Apartments in Obarrio | Se vende apartamento en Obarrio, Ph Diana Tower","B/.205,000.00",111,2,2,1
114,"Apartments in Obarrio | Se vende apartamento en Obarrio, Ph Denovo","B/.155,000.00",96,1,1.5,1
115,"Apartments in Campo Limberg | Apartment for Sale in Parque del Este At Only US$75,000","B/.75,000.00
 (Reduced 4%)",56,2,2,1
