price,area,beds,baths,parkings
135000.0,80.0,3,2.0,1
560000.0,370.0,4,4.5,3
380000.0,236.0,3,3.5,2
310000.0,104.0,2,2.5,1
1250000.0,395.0,4,4.5,3
185000.0,110.0,3,2.0,2
275000.0,125.0,3,3.0,2
895000.0,410.0,3,3.5,3
339000.0,98.0,1,1.5,1
418000.0,220.0,5,2.5,2
290000.0,126.0,2,2.0,2
250000.0,131.0,2,2.5,1
155000.0,89.0,3,2.0,2
90000.0,68.0,2,1.0,1
73800.0,52.0,2,1.0,1
150000.0,98.0,3,2.0,2
260000.0,148.0,3,2.5,2
285000.0,86.84,2,3.0,2
1300000.0,536.0,3,3.5,3
790000.0,378.0,3,3.5,2
145000.0,97.0,3,2.0,1
149000.0,67.0,2,2.0,1
210000.0,131.0,3,3.0,2
226000.0,119.0,3,2.0,2
240000.0,147.0,3,4.0,2
140000.0,92.0,2,2.0,1
170000.0,96.0,1,1.5,1
642000.0,282.0,3,3.5,2
160000.0,50.0,3,2.0,1
178000.0,105.0,2,2.0,1
153000.0,85.0,2,2.0,1
190000.0,145.0,3,2.0,2
490000.0,200.0,3,3.5,2
750000.0,360.0,4,4.0,3
1165000.0,525.0,4,4.5,2
90369.0,64.0,2,1.0,1
120000.0,76.0,1,1.0,1
230000.0,145.0,3,2.0,2
240000.0,154.0,3,2.5,2
214000.0,175.0,3,2.5,1
185000.0,112.0,2,2.0,1
140000.0,98.55,3,2.0,1
200900.0,99.0,3,2.0,2
279500.0,231.0,3,2.0,2
245000.0,178.0,5,3.0,1
175000.0,155.0,3,3.0,1
385000.0,222.08,4,4.0,2
219999.0,110.0,3,2.0,2
112000.0,69.0,2,1.0,1
1200000.0,435.0,3,3.0,2
129000.0,52.0,1,1.0,1
165000.0,102.27,2,2.0,1
140000.0,95.0,3,2.5,1
285000.0,160.0,2,2.5,2
145000.0,90.0,2,2.0,1
385000.0,125.0,2,2.0,1
205000.0,100.0,1,2.0,1
389999.0,185.0,3,3.5,2
357000.0,180.75,3,5.5,2
161500.0,103.0,3,2.0,1
155000.0,79.0,2,2.0,1
860000.0,337.0,4,3.0,2
225000.0,299.0,2,2.0,2
70200.0,54.0,2,1.0,1
70000.0,61.56,2,1.0,1
175000.0,87.0,2,2.0,2
220000.0,156.0,3,3.0,2
355000.0,138.55,3,3.0,2
157000.0,100.0,3,2.0,1
285000.0,161.0,2,2.0,1
185000.0,107.0,3,2.0,1
229999.0,97.0,1,1.5,1
1095175.0,427.0,3,3.5,2
185000.0,97.0,2,2.0,1
165000.0,94.0,2,2.0,2
315000.0,212.0,3,3.5,2
99000.0,60.0,2,1.0,1
380000.0,123.0,3,2.5,2
365000.0,111.0,2,2.0,2
260000.0,126.0,1,1.5,1
129900.0,69.0,2,2.0,1
580000.0,186.0,2,2.5,2
216600.0,77.0,2,2.0,1
565000.0,203.0,3,3.5,3
530000.0,336.0,3,4.0,2
87000.0,82.5,2,2.0,1
560000.0,280.0,3,3.5,1
260000.0,141.0,3,3.5,2
596000.0,180.0,2,2.5,1
443000.0,134.0,1,1.5,1
249000.0,74.0,1,2.0,1
574000.0,173.0,2,2.5,1
310000.0,94.0,1,1.5,1
440500.0,134.0,1,1.5,1
122000.0,76.71,2,2.0,1
130000.0,68.0,2,2.0,1
350000.0,185.0,3,4.0,2
190000.0,164.65,2,3.0,2
75000.0,50.0,2,1.0,1
340000.0,156.0,1,1.5,1
112000.0,89.0,3,2.0,1
89500.0,720.0,2,1.0,1
80000.0,64.0,2,2.0,2
117650.0,64.0,2,1.0,1
720000.0,296.0,3,5.5,2
470000.0,330.0,4,4.5,2
410000.0,205.0,3,3.5,2
440000.0,332.0,3,3.5,4
360000.0,147.0,2,2.0,1
839900.0,417.02,4,4.5,3
120000.0,65.0,2,1.0,1
367500.0,172.0,3,4.0,2
108000.0,58.0,2,2.0,1
139000.0,110.0,3,3.0,2
620000.0,337.0,4,5.5,3
225000.0,131.0,3,2.0,2
250000.0,98.0,2,2.0,2
270000.0,175.0,3,3.0,2
250000.0,149.0,2,2.0,1
355000.0,224.0,3,3.5,2
185000.0,156.0,3,2.0,2
279000.0,113.34,2,2.5,2
170000.0,117.0,2,2.0,1
305000.0,136.0,2,2.5,2
269000.0,94.0,1,1.0,1
590000.0,313.0,3,3.5,3
75000.0,58.0,2,1.0,1
270000.0,169.0,3,3.5,2
330000.0,206.0,3,3.5,3
340000.0,220.0,3,3.0,2
85000.0,50.0,1,1.0,1
77500.0,68.0,2,2.0,1
234000.0,114.0,3,3.0,2
260000.0,186.1,3,4.0,2
340000.0,208.0,4,4.0,2
95000.0,52.0,2,1.0,1
328000.0,159.62,2,2.0,2
82000.0,66.0,2,2.0,1
125000.0,75.0,2,2.0,1
219000.0,134.0,3,2.0,2
125000.0,80.0,3,2.0,1
170000.0,90.0,2,2.0,1
105000.0,58.0,1,1.0,1
685000.0,418.0,4,4.5,4
350000.0,253.0,4,4.0,3
525000.0,267.0,3,3.5,2
172000.0,96.0,3,2.0,1
380000.0,176.0,3,2.5,2
179000.0,170.0,2,3.0,1
400000.0,187.0,3,3.5,2
220000.0,130.0,3,2.0,2
145000.0,97.0,3,2.0,1
150000.0,64.0,1,1.0,1
230000.0,97.0,2,2.0,1
180000.0,111.0,2,2.0,1
205000.0,105.0,1,1.5,1
110000.0,80.0,3,2.0,1
165000.0,89.5,2,2.0,2
850000.0,331.06,4,4.5,2
380000.0,202.0,3,5.0,2
360000.0,145.0,3,3.0,2
1210000.0,433.0,3,3.5,3
1100000.0,500.0,4,4.5,3
670000.0,334.0,3,3.5,3
405000.0,187.0,3,3.0,2
125000.0,78.0,2,2.0,1
100000.0,61.0,2,1.0,1
166000.0,95.0,1,2.0,1
450000.0,303.0,3,4.0,3
99999.0,95.0,3,2.0,1
90000.0,67.0,2,2.0,1
598000.0,398.0,3,3.5,2
135000.0,90.0,2,2.0,2
103000.0,84.8,3,2.0,1
220000.0,126.0,3,2.0,2
355000.0,250.0,3,3.0,2
179000.0,107.0,2,2.0,1
595000.0,400.0,3,3.5,3
85000.0,57.0,2,1.0,1
495000.0,301.0,3,3.5,2
540000.0,279.0,3,3.5,3
329000.0,350.0,3,3.5,2
275000.0,138.0,2,2.5,2
135000.0,98.0,1,1.5,2
660000.0,272.0,3,3.5,3
390000.0,187.34,3,3.5,2
90000.0,57.0,2,1.0,1
107000.0,75.59,2,2.0,1
250000.0,134.8,2,2.5,2
570000.0,270.0,2,2.5,2
144000.0,120.0,2,3.0,1
80000.0,57.39,2,1.0,1
520000.0,270.0,3,4.0,2
315000.0,146.0,3,2.0,2
600200.0,205.0,3,3.5,2
200000.0,123.0,3,2.0,2
95000.0,100.0,3,2.0,1
119000.0,74.0,2,2.0,1
229000.0,177.0,3,2.5,2
180000.0,103.0,2,2.0,1
220000.0,147.0,1,1.5,1
285000.0,182.0,4,3.0,1
335000.0,205.0,3,3.5,2
357000.0,180.0,3,3.5,2
110000.0,80.0,2,2.0,2
549000.0,280.0,3,3.5,2
189000.0,110.0,2,2.0,1
225000.0,96.0,2,2.0,2
184368.0,80.0,2,2.0,1
370000.0,180.0,3,3.0,3
425000.0,300.0,3,2.0,2
160000.0,115.0,2,2.0,1
110000.0,70.0,2,2.0,1
500000.0,218.0,2,2.5,1
290000.0,200.0,3,2.0,2
130000.0,68.0,2,2.0,1
400000.0,151.0,3,4.0,2
690000.0,252.02,3,3.5,2
385000.0,125.0,2,2.0,1
189000.0,70.0,1,1.0,1
135000.0,71.0,2,2.0,1
148400.0,53.0,1,1.0,1
134000.0,94.0,2,2.0,1
325000.0,101.0,2,3.0,1
790000.0,420.0,3,3.5,3
211000.0,225.0,2,2.0,1
178800.0,86.0,2,2.0,1
185000.0,100.0,2,2.0,2
