,add_title,add_price,add_area_val,add_bed_val,add_bath_val,add_park_val
75,Apartments in Punta Pacífica | Apartamento en venta en Punta Pacífica 22-928 MMC,"B/.470,000.00",191,2,3,2
76,Apartments in Punta Pacífica | Apartamento en venta en Punta Pacifica 22-7657 MMC,"B/.625,914.00",141,2,3,1
77,Apartments in Punta Pacífica | Apartamento en venta en Punta Pacífica 21-2029 MMC,"B/.350,000.00",140,1,2,1
78,Apartments in Punta Pacífica | Apartamento en venta en Punta Pacífica 21-1987 MMC,"B/.890,000.00",323,4,4,1
79,Apartments in Punta Pacífica | Q TOWER - PUNTA PACIFICA,"B/.500,000.00",306,3,3.5,2
80,Apartments in Coco del Mar | Apartamento en venta en coco del mar 22-1789 MMC,"B/.445,000.00",164,3,2.5,2
81,Apartments in Punta Pacífica | Apartamento en venta en Punta Pacífica 21-2048 MMC,"B/.437,500.00",155,3,2,1
82,Apartments in Punta Pacífica | Apartamento en venta en Punta Pacífica 21-2013 MMC,"B/.465,000.00",194,2,3,1
83,Apartments in Punta Pacífica | Apartamento en venta en Punta Pacífica 21-4749 MMC,"B/.265,000.00",177,1,2,1
84,"Apartments in Casco Viejo, San Felipe | Mansion Baluarte 2 Bedroom Condo For Sale in Casco Viejo Panama","B/.499,727.00",109,2,2,NaN
85,Apartments in San Francisco | Oportunidad,"B/.130,000.00
 (Reduced 6%)",150,2,2,1
86,Apartments in San Francisco | Apartment for sale in San Francisco I.D. MH,"B/.400,000.00",205,3,2.5,2
87,Apartments in Costa del Este | Oportunidad! Se Vende Espectacular Apartamento en Costa del Este,"B/.510,000.00",200,3,3.5,2
88,Apartments in San Francisco | Se Vende Espectacular Apartamento en San Francisco,"B/.265,000.00",183,2,2.5,2
89,Apartments in Edison Park | Oportunidad! Se Vende Apartamento Piso Alto en Edison Park Vivendi Green,"B/.229,000.00
 (Reduced 4%)",104,3,2,1
90,Apartments in Costa del Este | PH Lumiere with Ocean View in Costa del Este,"B/.485,000.00",210,2,3.5,2
91,Apartments in Punta Pacífica | Apartment with ocean views for sale at The Ocean Club,"B/.650,000.00",153,2,2.5,1
92,Apartments in Punta Pacífica | Se Alquila Hermoso Apartamento Amueblado en El The Ocean Club (Trump),"B/.3,200.00",183,2,2.5,1
93,Apartments in Punta Pacífica | Se Vende Full Amueblado Amueblado de 2 Recámaras en The Ocean Club (Trump),"B/.499,000.00",153,2,2.5,1
94,Apartments in Villa de las Fuentes | En Venta Apartamento DaLUna Villa de las Fuentes,"B/.250,000.00",159,3,3,2
95,"Apartments in Obarrio | Se Vende Apartamento PH Vista Obarrio - Obarrio, Panamá","B/.289,000.00",210,3,3.5,2
96,Apartments in El Cangrejo | VENDO HERMOSO APARTAMENTO TIPO LOFT,"B/.150,000.00",86,1,1.5,1
97,Apartments in Punta Paitilla | FOR SALE LUXURY APARTMENT READY TO RELEASE WITH SEA VIEW,"B/.950,000.00",329,3,3.5,2
98,"Apartments in Condado del Rey | Condado del Rey - PH TERRAZAS DEL REY U$ 154,000.=","B/.154,000.00",80,2,2,2
99,Apartments in El Dorado | Venta apartamento amoblado en PH Golden Boulevard el Dorado,"B/.155,000.00
 (Reduced 2%)",90,2,2,1
100,Apartments in Coco del Mar | Se vende!!! Apartamento en Coco del Mar,"B/.290,000.00
 (Reduced 3%)",140,2,2,2
101,Apartments in Punta Pacífica | Venta de apartamentos en Punta Pacífica (Pacific Point/Bellagio/Aquamare/Q Tower) GTA,"B/.1,100,000.00
 (Reduced 21%)",390.13,3,3.5,6
102,Apartments in Coco del Mar | Venta de apartamentos en Coco del Mar/San Francisco/Punta Paitilla (MaersiasPuntarenas/Star Bay) GTA,"B/.750,000.00
 (Reduced 14%)",611.94,3,3.5,4
103,"Apartments in Punta Paitilla | APARTMENT FOR SALE PH LA JOYA, Punta Patilla (6)","B/.238,000.00
 (Reduced 3%)",166,2,3,1
104,Apartments in Club de Golf | Apartment for sale,"B/.130,000.00",69,2,2,1
105,"Apartments in Punta Paitilla | APARTMENT FOR SALE PH EMPERADOR, Punta Paitilla (7)","B/.665,000.00",350,4,3.5,2
106,Apartments in Coco del Mar | Vita. Apartments for sale.,"B/.365,000.00",140,3,2.5,2
107,Apartments in El Cangrejo | Velure. Apartamentos en venta.,"B/.240,000.00",88,2,2,1
