,add_title,add_price,add_area_val,add_bed_val,add_bath_val,add_park_val
79,Apartments in San Francisco | IMPECABLE APARTAMENTO EN VENTA EN CITRUS SAN FRANCISCO AND 23-480,"B/.299,000.00",160.75,3,3.5,2
80,Apartments in Costa del Este | SE VENDE APARTAMENTO REMODELADO COSTA DEL ESTE,"B/.795,000.00",298,3,3.5,4
81,Apartments in Santa María | Spectacular apartment for SALE in The Reserve,"B/.1,650,000.00
 (Reduced 6%)",485,4,5,3
82,Apartments in Altos de Golf | Excelente Oportunidad / Apto en Altos del Golf # 1810 avd,"B/.87,300.00",65,2,1,1
83,"Apartments in 12 de Octubre | SE VENDE PH TERRANO PLAZA REMODELADO $89,000 2REC","B/.89,000.00",76,2,2,1
84,"Apartments in Punta Paitilla | REMODELADO PH BAYSIDE TOWER EN PAITILLA $799,800","B/.799,800.00",531,4,6,3
85,Proyecto en San Francisco de Entrega Inmediata a pasos del Parque Omar,"B/.217,065.00",87,2,2,1
86,Apartments in Costa del Este | VENTA DE APARTAMENTO I COSTA DEL ESTE I Oportunidad de Inversión,"B/.325,000.00
 (Reduced 2%)",121,3,2.5,2
87,Apartments in Hato Pintado | Ph Parklane Tower,"B/.185,000.00",107,2,2,1
88,"Apartments in Avenida Balboa | Excellent location, excellent investment, irresistible price…","B/.199,900.00",131.33,3,3,2
89,SUPER PROMOCIONES DE FERIA EXTENDIDAS - 5% MENOS + LINEA BLANCA,"B/.166,082.00",93,2,2,1
90,Apartments in Vía Transístmica | Remato apartamento de 93mtrs2 de 2 recámaras,"B/.135,000.00
 (Reduced 7%)",93,2,2,1
91,Apartments in El Cangrejo | Unique opportunity to move now or to rent in El Cangrejo,"B/.170,900.00",98.99,3,2,1
92,"Apartments in El Cangrejo | Miro, El Cangrejo. Apartamento en El Cangrejo","B/.357,500.00",222.36,3,4,2
93,Apartments in Marbella | Se vende apartamento en Marbella - Vista Bella Plaza,"B/.340,000.00
 (Reduced 3%)",260,3,3.5,2
94,"Apartments in San Francisco | For sale 3 bedrooms, 2 bathrooms, San Francisco, balcony, Parque Omar","B/.260,000.00",110,3,2,2
95,"Apartments in Avenida Balboa | Se Vende Apto en Vista Marina, Avenida Balboa MLS#15561","B/.200,000.00
 (Reduced 7%)",114,1,1.5,1
96,Apartments in Clayton | Embassy Club Clayton Penthouse. Apartamento en Embassy,"B/.895,000.00
 (Reduced 3%)",373,4,5.5,3
97,"Apartments in San Francisco | The One Tower, San Francisco. Apartamento en The One Tower","B/.179,000.00",100,2,2,1
98,"Apartments in El Cangrejo | Terranova, El Cangrejo a $1,109xm2. Apartamento en El Cangrejo, Bella Vista","B/.535,000.00
 (Reduced 10%)",482.43,3,3.5,3
99,Apartments in El Cangrejo | Terranova - El Cangrejo,"B/.1,200,000.00
 (Reduced 14%)",1200,4,6,7
100,"Wanders & Yoo – Marbella, Ciudad de Panamá","B/.460,000.00",144,2,2,2
101,Bali en Costa del Mar - Costa del Este,"B/.399,000.00",168.82,3,3,2
102,NUOVO ArmaniI/Casa en Cinta Costera,"B/.360,000.00",98,2,3,NaN
103,Apartments in Clayton | Clayton Park Clayton. Apartamento en Clayton en Venta,"B/.245,000.00
 (Reduced 4%)",141.06,3,2,2
104,"Apartments in San Francisco | Terrawind San Francisco, Apartamento en San Francisco","B/.199,500.00",131,3,3.5,1
105,Apartments in Costa del Este | Sol del Este Costa del Este. Apartamento en Costa del Este,"B/.225,000.00",147.6,3,3.5,2
106,Apartments in Marbella | For sale Pent-house in P.H Costa Del Mar.,"B/.789,000.00",525.12,4,4.5,2
107,Apartments in Costa del Este | Elevation Tower Costa del Este. Apartamento en Costa del Este,"B/.360,000.00",185.14,3,3.5,2
108,"Apartments in Coco del Mar | PH SANTORINI APARTMENT FOR SALE, COCO DEL MAR (4)","B/.750,000.00",340,3,3.5,5
109,Apartments in San Francisco | MODERN FURNISHED APARTMENT SAN FRANCISCO (OCEAN VIEW),"B/.232,000.00",114,2,2.5,2
110,Apartments in La Cresta | Apartment for sale in bella vista,"B/.110,000.00
 (Reduced 1%)",49,1,1,1
111,Apartments in Parque Lefevre | Venta apartmento en Parque Lindo II F.A,"B/.125,000.00",75,2,2,1
112,"Apartments in Avenida Balboa | The Sands Apartments &amp;amp;amp;amp;amp;amp; Mall! 245,000usd","B/.265,000.00",77,1,2,2
113,Apartments in Clayton | EMBASSY CLUB APARTMENT,"B/.850,000.00",295,4,3.5,3
114,"Apartments in Coco del Mar | RIVIERA DEL GOLF APARTMENT FOR SALE, COCO DEL MAR (1)","B/.579,000.00",250,4,4,3
115,"Apartments in Coco del Mar | FOR SALE APARTMENT PH VICTORY SPORT, COCO DEL MAR (5)","B/.365,000.00",125,3,2.5,2
116,"Apartments in San Francisco | Se Vende Apartamento, San Francisco","B/.198,000.00
 (Reduced 1%)",106,2,2,1
117,Apartments in Miraflores | Remate apartamento familiar 122m2 a 2 minutos de estación del metro,"B/.145,000.00",122,3,3,2
118,Apartments in Altos de Golf | ESPECTACULAR! - Oportunidad Frente al Parque Omar,"B/.397,500.00",207,3,2.5,2
119,Apartments in El Cangrejo | Se vende apartamento en el Cangrejo Ph Las Garzas OV,"B/.175,000.00",105,2,2,1
120,Apartments in Obarrio | OBARRIO PH DOWNTOWN 55 APARTAMENTO ÚNICO,"B/.500,000.00",184,5,4,3
121,Apartments in Punta Pacífica | VENTA APARTAMENTO PH OASIS ON THE BAY PUNTA PACIFICA,"B/.180,000.00",100,1,1.5,1
122,Reserva Santa Fe - Apartamentos,"B/.82,269.00",62.04,2,1,1
123,Apartments in Costa del Este | Next to the iStrip Mall Plaza and steps from the Town Center,"B/.390,000.00
 (Reduced 10%)",216.67,3,4,2
124,Apartments in Costa del Este | TOP Towers building | TURNKEY Property For Sale,"B/.250,000.00",118.74,2,3,1
125,Apartments in Hato Pintado | Venta de Apartamento en Hato Pintado,"B/.116,000.00",77,2,2,1
126,Apartments in Punta Paitilla | VENTA DE APARTAMENTO EN PUNTA PAITILLA OPCION ALQUILER $1400.00,"B/.215,000.00",160,3,2,1
