,add_title,add_price,add_area,add_room,add_loc
10968,Se_vende_apartamento_en_Marbella___Vista_Bella_Plaza,606900.0,260.0,3,Marbella
10969,Se_vende_apartamento_en_Punta_Paitilla,135000.0,229.0,3,Punta_Paitilla
10970,Se_vende_apartamento_en_Casamar,210000.0,206.0,3,San_Carlos
10971,Se_vende_Apartamento_en_PH_The_Mirage_Tower___Punta_Paitilla,906825.0,445.0,3,Punta_Paitilla
10972,_SE_VENDE_ESPECTACULAR_PENTHOUSE_EN_EL_CARMEN_3_4_REC____273_MTS_U_499K,227000.0,275.0,4,Bella_Vista
10973,Se_Vende_apartamento_en_San_Francisco__PH_Quadrat,335000.0,148.0,2,San_Francisco
10974,VENTA_DE_APARTAMENTO_EN_PH_LAS_OLAS_II__VISTA_MAR___BEACH_RESORT,495000.0,318.0,3,San_Carlos
10975,VENTA_DE_APARTAMENTO_EN_PLAYA_BLANCA___PH_FOUNDERS_3,320000.0,131.24,2,R_o_Hato
10976,VENTA_DE_APARTAMENTO_EN_PH_MYSTIC_TOWN__PEDREGAL,300000.0,46.0,2,Pedregal
10977,EN_VENTA_APARTAMENTO_EN_PH_ALTAMIRA_GARDENS_EN_ANC_N,357000.0,75.0,2,Anc_n
10978,EN_VENTA_APARTAMENTO_EN_PH_MARINA_PLAZA__VIA_ISRAEL,150000.0,155.0,2,V_a_Cincuentenario
10979,APARTAMENTO_EN_VENTA_EN_PH_COSMOPOLITAN_TOWERS_EN_TRANSISTMICA,315000.0,74.0,2,Pueblo_Nuevo
10980,VENTA_DE_APARTAMENTO_EN_TOP_TOWERS__COSTA_DEL_ESTE,295000.0,117.85,2,Costa_del_Este
10981,Venta_de_apartamento__PH_Town_Center___Playa_Blanca,335000.0,143.0,2,R_o_Hato
10982,EN_VENTA_APARTAMENTO_EN_PH_TERRAZAS_DEL_BOSQUE__LAS_CUMBRES,200000.0,66.0,2,Alcalde_D_az
10983,Venta_de_Apartamento_en_PH_Dali,349000.0,131.19,3,El_Cangrejo
10984,VENTA_DE_APARTAMENTO_EN_PH_Mystic_Village_EN_JUAN_D_AZ,1250000.0,61.0,2,Urbanizaci_n_Don_Bosco
10985,VENTA_DE_APARTAMENTO_EN_PH_LUXOR_TOWER,832000.0,239.0,3,El_Cangrejo
10986,PARK_LANE,1234000.0,276.0,3,Costa_del_Este
10987,PARK_VIEW,435000.0,218.0,3,Costa_del_Este
10988,El_Cangrejo_San_Marino___2_Bds_2_Ba___Heart_of_Panama_City_Condo,190000.0,94.0,2,El_Cangrejo
10989,Vendo_apartamento_en_Bella_Vista_Ph_Zaphiro_,125000.0,115.0,2,El_Cangrejo
10990,Venta_o_Alquiler_de_un_lindo_apartamento_en_Santa_Mar_a,340000.0,339.0,3,Santa_Mar_a
10991,Apartamento_en_venta_en_Coco_del_Mar__a_estrenar_,245000.0,80.0,2,Coco_del_Mar
10992,Apartamento_nuevo_en_Venta_en_Costa_del_Este__Excelente_Oportunidad_de_inversi_n__295_000,325000.0,105.0,2,Costa_del_Este
10993,Venta_de_apartamento_en_Costa_del_Este__Frente_al_mar__Casi_Nuevo_,295000.0,184.0,3,Costa_del_Este
10994,Vendo_Apartamento_en_Costa_del_Este__Nuevo__320_000,445000.0,105.0,2,Costa_del_Este
10995,REMODELADO_______BRISAS_DE_OBARRIO___EXCELENTE_UBICACION,744000.0,187.0,3,Calle_50
10996,Sale_Apartment_in_Bella_Vista__PH_Costanera__3_bedrooms__123m2,456000.0,123.0,3,Bella_Vista
10997,Rent_Apartment_Linea_Blanca_Ph_Green_Park__JAG_,345000.0,93.0,4,Condado_del_Rey
10998,Costanera__bella_vista_Oportunidad_____Estrena_y_gana_al_comprar_al_precio_mas_bajo_por_traspaso_,200000.0,123.0,3,Avenida_Balboa
10999,CLAYTON_TOWER,320000.0,170.0,3,Panama_City
11000,Se_vende_apartamento_en_BELLA_VISTA_PARK__A_pocos_metros_de_la_Avenida_Balboa_,75000.0,182.0,3,Bella_Vista
11001,BAY_FRONT,230000.0,98.0,1,Avenida_Balboa
11002,SEA_Confiable_Vende_Apartamento_en_PH_Tamaco__Punta_Paitilla,109900.0,286.0,3,Punta_Paitilla
11003,Sea_Confiable_Vende_PH_The_Point_paitilla,425000.0,500.0,4,Punta_Paitilla
11004,Sea_Confiable_Vende_PH_The_Towers_paitilla,1350000.0,329.0,3,Punta_Paitilla
11005,Sea_Confiable_Vende_PH_The_Towers_paitilla,343550.0,395.0,4,Punta_Paitilla
11006,Se_vende_apartamento_en_PH_Da_Vinci,1041136.0,220.86,3,Coco_del_Mar
11007,Vendo_apartamento_en_PH_PARKPOINT___Carrasquilla___3_rec___Nuevo____190_000USD,194700.0,88.0,3,Carrasquilla
11008,El_Proyecto_Ph_Teus_tower_II___Via_espana_y_parque_Omar___Apartamento_en_venta__125_000USD,915400.0,72.0,2,Carrasquilla
11009,Punta_Pacifica_Ph_Costa_Pacifica,1149750.0,175.0,3,Punta_Pac_fica
11010,Coco_del_Mar_Ph_Moon,327000.0,100.0,2,Coco_del_Mar
11011,3_bedrooms_condo_with_ocean_view,350000.0,150.0,3,Playas
11012,Comfortable_apartment_in_Oceanaire_model_04__FOR_SALE___,125000.0,119.22,1,Punta_Pac_fica
11013,FOR_SALE____The_Grand_Tower__model_J,220000.0,159.0,2,Punta_Pac_fica
11014,Espectaculares_Apartamentos_a_Estrenar_en_Venta_en_Costa_del_Este,160000.0,276.0,3,Costa_del_Este
11015,Espectaculares_Apartamentos_a_Estrenar_en_Venta_en_Coco_del_Mar,1100000.0,183.0,2,Coco_del_Mar
11016,Espectaculares_Apartamentos_en_Venta_en_el_Corazon_de_la_Cinta_Costera,450000.0,123.0,3,Avenida_Balboa
11017,Apartment_in_Punta_Pacifica__PH_Costa_Pacifica__3_bedrooms__118m2,210000.0,118.0,3,Punta_Pac_fica
11018,Apartment_with_ocean_views_for_sale_or_rent_at_The_Ocean_Club,329000.0,96.0,1,Punta_Pac_fica
11019,RIO_ABAJO___PH_LOMA_BONITA___2_HABITACIONES___53m2,205000.0,53.0,2,Rio_Abajo
11020,Apartment_for_sale_of_196_m2_in_PH_Brisamarina__Paitilla,399000.0,196.0,3,Punta_Paitilla
11021,VENTA_APARTAMENTOS_NUEVOS_EN_R_O_ABAJO,305000.0,63.18,1,Rio_Abajo
11022,Sale_of_300_m2_Apartment_in_PH_Sonesta__Paitilla,295000.0,300.0,3,Punta_Paitilla
11023,Sale_of_550_m2_Apartment_in_PH_Venetian_Tower__Punta_Pacifica,250000.0,550.0,4,Punta_Pac_fica
11024,Sea_Confiable_Vende_Ph_Costanera_Av__Balboa,285000.0,123.0,3,Avenida_Balboa
11025,Sea_Confiable_Vende_PENTHOUSES_Ph_Costanera_Av__Balboa_395M2,275000.0,395.0,4,Avenida_Balboa
11026,SEA_Confiable_Vende_o_Alquila_PH_Greenwood_Towers_100,510000.0,86.0,3,Arnulfo_Arias
11027,Sea_Confiable_Vende_Ocean_Front_Punta_Paitilla,282000.0,320.0,3,Punta_Paitilla
11028,Sea_Confiable_Vende_Ocean_Front_Punta_Paitilla,215000.0,420.0,4,Punta_Paitilla
11029,SEA_Confiable_vende_PH_Pacific_Park__Edison_Park,296000.0,142.0,3,Betania
11030,VENTA_APARTAMENTO_COSTA_ESTE_U_350_000_00,380000.0,136.0,2,Parque_Lefevre
11031,SUPER_GANGA_APT_2R2B2P_VACIO_EN_PH_TERRAZAS_DEL_REY_CONDADO_125000,475000.0,80.0,2,Condado_del_Rey
11032,Se_vende_apartamento_en_V_a_Espa_a__PH_Denovo,245000.0,117.0,2,Bella_Vista
11033,Se_vende_apartamento_en_12_de_Octubre__Ph_Cosmopolitan_Tower,205000.0,90.0,2,12_de_Octubre
11034,se_vende_casa_en_Altos_del_Golf__Ph_Minimal_Houses,260000.0,640.0,4,Altos_de_Golf
11035,Se_vende_apartamento_en_Punta_Pac_fica__Ph_Costa_Pac_fica,500000.0,267.0,3,Punta_Pac_fica
11036,Se_vende_apartamento_en_El_Cangrejo__Ph_Kubic,290000.0,135.0,3,El_Cangrejo
11037,PH_YOO_AV__BALBOA_SALE_329000,290000.0,127.0,1,V_a_Porras
11038,PH_Metropolitan_One_For_sale_208000,310000.0,98.0,2,V_a_Porras
11039,PH_Bali_Costa_del_Este_Sale_399000,294500.0,169.0,4,V_a_Porras
11040,APARTMENT_2REC_PH_NAUTICA_COCO_DEL_MAR,275000.0,148.0,2,Coco_del_Mar
11041,PH_ICON_TOWER_FOR_SALE___390_000,314500.0,160.0,2,Coco_del_Mar
11042,FOR_SALE_BARGAIN_APARTMENT___LOCATED_IN_YACHT_CLUB__AV_BALBOA__TO_FI,249000.0,133.0,1,Avenida_Balboa
11043,PH_QUARTIER_DEL_MAR_SALE___285_000,125000.0,123.0,2,Coco_del_Mar
11044,PH_ICON_TOWER_SALE___275_000,265000.0,160.0,2,Coco_del_Mar
11045,PH_TRUMP_SALE___510_000,490000.0,153.0,2,Punta_Pac_fica
11046,PH_ICON_TOWER_SALE___282_000,250000.0,139.0,2,Coco_del_Mar
11047,BEAUTIFUL_APARTMENT_FOR_SALE_SEA_VIEW,213000.0,100.0,1,Coco_del_Mar
11048,PH_WATERS_SALE___296_000,310000.0,123.0,2,Coco_del_Mar
11049,PH_LONG_BEACH,245000.0,204.0,3,Coco_del_Mar
11050,Apartment_in_Punta_Paitilla_PH_Soneta___447_500,400000.0,300.0,3,Punta_Paitilla
11051,SALE_ALTAMIRA_RESIDENCES_MULTI_FAMILY_PROJECT,515000.0,105.0,3,Bella_Vista
11052,APARTMENT_FOR_SALE__PH_BAYFRONT_TOWER__AV_BALBOA,305000.0,100.0,1,Avenida_Balboa
11053,Luxurious_apartment_on_Av_Balboa_in_Marbella,360000.0,137.0,2,Panama_City
11054,YACHT_CLUB_MODELO_A_WITH_SEA_VIEW_AND_BEAUTIFUL_NIGHT_VIEW_,314000.0,217.0,2,Panama_City
11055,PH_ICON_TOWER_COCO_DEL_MAR_SALE___290_000,408000.0,160.0,2,Coco_del_Mar
11056,PH_ICON_TOWER_COCO_DEL_MAR_SALE___290_000,510000.0,160.0,2,Coco_del_Mar
11057,PH_ICON_TOWER_VENTA_310_000_COCO_DEL_MAR,350000.0,160.0,2,Coco_del_Mar
11058,APARTMEMT_FOR_SALE_IN_EL_CANGREJO__3BED,440000.0,167.0,3,El_Cangrejo
11059,APARTMENT_FOR_SALE_IN_GALERIA_UNO_3BED,220000.0,174.0,3,Obarrio
11060,PH_ICON_TOWER_SALE___314_500,210000.0,160.0,2,Coco_del_Mar
11061,PH_COCO_DEL_MAR___SAN_FRANCISCO__SALE_249_000,330000.0,143.0,3,Coco_del_Mar
11062,The_PH_EL_MARQUEZ_vendo__125000,155000.0,90.0,2,V_a_Espa_a
11063,APARTMENT_FOR_SALE_IN_PH_BELLA_VISTA_PARK_3BED,218000.0,160.0,3,Avenida_Balboa
11064,VENDO_APARTAMENTO_EN_YOO_CON_BELLA_VISTA_AL_MAR,487000.0,198.0,2,Avenida_Balboa
11065,PH_QUARTIER_DEL_MAR_SALE___265_000,920000.0,123.0,2,Coco_del_Mar
11066,PH_ICON_TOWER_1_REC___213000,320000.0,100.0,1,Coco_del_Mar
11067,FOR_SALE_COCO_DEL_MAR_PH_ICON___310_000,290000.0,160.0,2,Coco_del_Mar
11068,SALE_ALTAMIRA_RESIDENCES_MULTI_FAMILY,140000.0,105.0,3,Bella_Vista
11069,PH_YACHT_CLUB_TOWER_APARTAMENTO_EN_VENTA__400_000,700000.0,156.0,2,Avenida_Balboa
11070,VENTA_YACHT_CLUB,140000.0,180.0,2,Balboa
11071,PH_NAUTICA___COCO_DEL_MAR_2REC_VENTA__305_000,199000.0,148.0,2,Coco_del_Mar
11072,FOR_SALE_PH_LOS_DELFINES__280_MT2___360_000___2_200,265000.0,280.0,3,Avenida_Balboa
11073,PH_ICON_TOWER_SALE___314_000,245000.0,160.0,3,Coco_del_Mar
11074,PH_YACHT_CLUB__2REC_VENTA__408_000,885106.0,212.0,2,Avenida_Balboa
11075,JW_MARRIOT_DE_2_RECAMARAS_EN_VENTA__510_000,521186.0,155.0,2,Punta_Pac_fica
11076,PH_JOY,228850.0,200.0,3,San_Francisco
11077,APARTMENT_FOR_SALE_ALLURE_AT_THE_PARK,712275.0,175.0,2,Avenida_Balboa
11078,2_bedrooms_Apartment_for_sale_on_Avenida_Balboa,679150.0,122.0,2,Avenida_Balboa
11079,_VENTA__PH_TERRASOL__210_000__NEGOCIABLE__LTR_M__142_M2_,525000.0,142.0,3,San_Francisco
11080,Venta_de_hermoso_apartamento___PH_Embassy_Village_Torre_F,399000.0,166.0,3,Albrook
11081,Ph_Belview_Torre_200____Edison_Park____Venta_espectacular_de_apartamento___Amoblado,449000.0,85.0,3,Edison_Park
11082,Venta_de_Lujoso_apartamento_en_Condado_del_Rey____PH_King_s_Park,1291942.0,114.0,3,Tumba_Muerto
11083,Embassy_Village___Venta_de_espectacular_apartamento___Albrook,603200.0,202.0,3,Albrook
11084,Espectacular_apartamento___Country_Club_Costa_del_Este___VENTA,221200.0,366.0,3,Costa_del_Este
11085,PH_Embassy_Village___Venta_de_hermoso_apartamento____Albrook,1350000.0,170.0,3,Albrook
11086,Venta_de_excelente_apartamento_en__rea_especial_de_PH_Embassy_Village,316248.0,114.0,2,Albrook
11087,PH_Mirador_del_Golf___espectacular_apartamento__San_Francisco_Parque_Omar,800000.0,100.0,1,Club_de_Golf
11088,Venta_de_exclusivo_apartamento_Country_Club___Costa_del_Este,340000.0,250.0,3,Costa_del_Este
11089,Venta_de_espectacular_apartamento___PH_Belview_Tower___Edison_Park__Ideal_para_Inversi_n,315000.0,79.0,2,Edison_Park
11090,Apartamento_en_Paitilla__Apartamento_en_PH_Arrecife__Paitilla,240000.0,120.0,2,Punta_Paitilla
11091,Apartamento_en_Venta_Punta_Pac_fica_Mystic_Point_Panam___Full_Amoblado,330000.0,170.0,3,Punta_Pac_fica
11092,Vendo_apto_en_El_Cangrejo,267000.0,88.0,2,El_Cangrejo
11093,SEA_Confiable_Vende_PH_Deluxe_Residence_en_Paitilla,360000.0,351.0,3,Punta_Paitilla
11094,SEA_Confiable_Vende_PH_Deluxe_Residence_en_Paitilla,250000.0,200.0,3,Punta_Paitilla
11095,Sea_Confiable_Vende_o_Alquila_Ocean_Waves__Gorgona,85000.0,81.0,1,Chame
11096,YOUR_APARTMENT_IN_BUENAVENTURA__WITH_3_BEDROOMS__PUNTARENA,799000.0,225.0,3,R_o_Hato
11097,THE_APARTMENT_IN_BUENAVENTURA_THAT_YOUR_FAMILY_DESERVES__MPC1907__2_,650000.0,239.0,3,R_o_Hato
11098,Spectacular_apartment_in_Puntarena__Buenaventura_MPC2032,370000.0,178.0,2,R_o_Hato
11099,SANTA_CLARA___PH_SANTA_CLARA_RESIDENCES___200m2___4_HABITACIONES,705000.0,200.0,4,Santa_Clara
11100,NUEVA_GORGONA___PH_BITMORE___FRENTE_AL_MAR___250m2,385000.0,250.0,3,Playa_Gorgona
11101,Sea_Confiable_Vende_Ph_Matisse_Costa_del_Este,630000.0,340.0,3,Costa_del_Este
11102,Sea_Confiable_Vende_Ph_Casa_Bianca_Costa_del_Este,440000.0,208.0,3,Costa_del_Este
11103,Sea_Confiable_Vende_Ph_Generati_n_Tower_Costa_del_Este,105000.0,58.0,1,Costa_del_Este
11104,Sea_Confiable_Vende_La_Vista_Santa_Maria,480000.0,571.0,3,Santa_Mar_a
11105,Sea_Confiable_Vende_Nogal_Costa_del_este,865000.0,108.0,1,Santa_Mar_a
11106,ID4075_Vista_Directa_al_Mar___De_estreno___COSTA_del_este_323_m2_,195000.0,323.0,3,Costa_del_Este
11107,se_vende_apartamento_en_Via_Porras__PH_Park_Loft,650000.0,160.0,2,Panama_City
11108,Se_vende_apartamento_en_Dos_Mares__Ph_Pacific_Hills,595000.0,265.0,4,Dos_Mares
11109,se_vende_apartamento_en_Bella_Vista__PH_Colores_,440000.0,109.0,2,Avenida_Balboa
11110,Apartment_in_San_Francisco__PH_The_Regent__3_bedrooms__156m2,315000.0,156.0,3,San_Francisco
11111,Se_vende_apartamento_en_Villa_de_las_Fuentes__PH_Portofino,90000.0,112.0,3,Betania
11112,Se_vende_apartamento_en_Costa_Del_Este__Ph_Top_Tower,349000.0,158.0,3,Costa_del_Este
11113,Zaphiro_Panama_Unit_For_Sale_in_El_Cangrejo,430000.0,115.0,2,El_Cangrejo
11114,EXCELLENT_APARTMENT_FOR_SALE_IN_SAN_FRANCISCO_BAY,250000.0,64.0,2,San_Francisco
11115,Ocean_Front___Punta_Paitilla___Se_vende_Lujoso_apartamento,450000.0,319.0,3,Punta_Paitilla
11116,V__E__N__D__E,175000.0,5000.0,3,Aguadulce
11117,370K___SAN_FRANCISCO_200m2___CON_MUEBLES,830000.0,200.0,3,San_Francisco
11118,GREEN_VIEW_SANTA_MARIA_230M2_PISO_ALTO_CON_ACABADOS_EXCELENTES,310000.0,230.0,3,Santa_Mar_a
11119,VENTA_DEBAJO_AVALUO___SAN_FRANCISCO___210m2_3PARKINGS__3_DEPOSITOS_remodelado,133000.0,210.0,3,San_Francisco
11120,PRECIOSO_EN_PUNTA_PACIFICA_287M2___VISTA_AL_MAR,1250000.0,287.0,3,Punta_Pac_fica
11121,PISO_ALTO_VISTA_PANORAMICA_223M2_PH_ALCALA_SE_VENDE_CON_INQUILINO,207000.0,223.0,3,Costa_del_Este
11122,CENTRICO_APARTAMENTO_PH_TORRE_300,192000.0,90.0,3,12_de_Octubre
11123,For_sale_Spacious_apt__in_Pacific_Village_,2217600.0,261.95,3,Punta_Pac_fica
11124,PH_Matisse___Costa_del_Este,550000.0,337.0,3,Costa_del_Este
11125,PH_Princess_Punta_Pacifica,139000.0,147.0,2,Punta_Paitilla
11126,PH_Costanera_203m2_Jr_Penthouse_v_Mar_Piso_Alto__650k,360000.0,203.0,3,Bella_Vista
11127,Model_B_in_The_Grand_Tower___FOR_SALE____fully_furnished,165000.0,225.0,2,Punta_Pac_fica
11128,FOR_SALE____Loft_type___The_Grand_Tower_,215000.0,176.0,1,Punta_Pac_fica
11129,DOS_MARES___PH_PACIFIC_HILLS_300___4_HABITACIONES___265m2,335000.0,265.0,4,Dos_Mares
11130,DON_BOSCO___PH_MYSTIC_VILLAGE___61m2___2_HABITACIONES,395000.0,61.0,2,Urbanizaci_n_Don_Bosco
11131,PUNTA_PAITILLA___EDIF__TAMACO___286m2___4_HABITACIONES,549000.0,286.0,4,Punta_Paitilla
11132,SAN_FRANCISCO___PH_SAN_FRANCISCO_BAY_400___LINEA_BLANCA___245m2,145000.0,245.0,3,San_Francisco
11133,DEAL_Condo_in_Clayton_Park_I,800000.0,142.0,3,Clayton
11134,Apartment_in_new_residential_project_in_Costa_del_Este_for_rent,904800.0,205.0,3,Costa_del_Este
11135,Se_vende_apartamento_en_Punta_Pacifica__PH_Pacific_Wind,460000.0,87.0,2,Punta_Pac_fica
11136,Penthouse_a_estrenar_en_Buenaventura_Marina_Village,245000.0,280.0,3,El_Farall_n
11137,Se_vende_apartamento_en_Obarrio__PH_Park_City,139000.0,117.0,2,Bella_Vista
11138,Vendo_apartamento_en_via_espa_a_ph_brisas_de_san_fernando,240000.0,98.0,3,V_a_Espa_a
11139,Venta_de_Penthouse_en_Casco_Viejo,160000.0,430.0,3,Casco_Viejo__San_Felipe
11140,Se_Vende_apartamento_por_Plaza_Edison__Vivendi_Green,177000.0,86.0,2,Betania
11141,Se_Vende_apartamento_por_Plaza_Edison__Vivendi_Green,550000.0,86.0,2,Betania
11142,Apartamento_en_Venta_Punta_Pacifica_Ciudad_Panam_,205000.0,792.0,4,Punta_Pac_fica
11143,Apartamento_en_Paitilla_de_Piso_Completo__PH_Vista_del_Sol__Winston_Churchill,195000.0,471.0,4,Punta_Paitilla
11144,Via_Espa_a___Ph_Royal_Tower_apartment_for_sale,349000.0,76.0,2,Carrasquilla
11145,VENDO_APTO_PREMIUM_TOWER_SAN_FCO,260000.0,160.0,3,San_Francisco
11146,apartament_on_sale_in_San_Francisco,150000.0,92.0,2,San_Francisco
11147,Venta_de_Apartamento_en_Altamira_Garden,450000.0,112.0,3,Anc_n
11148,Great_Loft_For_Sale_in_Punta_Arenas_Buenaventura,345000.0,2015.0,1,Playas
11149,MARBELLA___PH_BRISAS_DE_MARBELLA___220m2___4_HABITACIONES,129900.0,220.0,3,Marbella
11150,PENTHOUSE_FOR_SALE_IN_PH_CORONADO_GOLF_CHAME_PANAMA,148000.0,216.0,2,Playa_Coronado
11151,Vendo_Apto_104m2_El_Carmen_3r_2b_Cbe_Acuario,225500.0,104.0,3,El_Carmen
11152,VENDO_APTO_BAYSIDE_TOWER,111900.0,535.0,4,Punta_Pac_fica
11153,Luxury_apartment_in_PH_Signature__Santa_Maria,750000.0,312.0,3,Santa_Mar_a
11154,Portanova__El_Cangrejo___The_Perfect_Family_Apartment_for_Sale_,360000.0,325.0,3,El_Cangrejo
11155,PH_Girasol__Marbella___Amazing_remodelled_apartment_For_Sale_,340000.0,168.0,3,Marbella
11156,El_Carmen___Two_bedroom_city_apartment_at_an_accessible_price,135000.0,76.0,2,El_Carmen
11157,PH_Zaphiro__El_Cangrejo___Brand_New_Apartment,279900.0,115.0,2,El_Cangrejo
11158,PH_Lemon_Tower__Bella_Vista___Great_1_bedroom_apartment,425000.0,59.0,1,La_Cresta
11159,PH_Sky_Swiss__El_Cangrejo___Brand_New_Apt___Project_under_Construction,195000.0,70.0,2,El_Cangrejo
